Mã loại xe      | Tên loại xe          
0               | Xe Thuong            
1               | Xe VIP               
2               | Xe Hop Dong          
---------------------------
Tổng: 3.

Mã TX   | Biển KS         | Tên tài xế                       | Loại xe       
1       | 54T3-6222       | Hoang Huy Hung                   | Xe VIP        
2       | 56O5-3929       | Hoang Huy Hung                   | Xe VIP        
3       | 26I8-4471       | Nguyen Thi Binh                  | Xe Thuong     
4       | 25D8-2032       | Doan Hoang Phung                 | Xe VIP        
5       | 49T6-3544       | Phan Ba Minh                     | Xe Thuong     
6       | 54N6-6764       | Pham Minh Hieu                   | Xe VIP        
7       | 94O8-6631       | Mai Thi Thanh Tra                | Xe VIP        
8       | 49N3-8619       | Le Ba Quang                      | Xe VIP        
9       | 17P1-7429       | Nguyen Binh An                   | Xe VIP        
10      | 47V9-8676       | Vo Thi Ngoc Thao                 | Xe Thuong     
11      | 51I5-1349       | Nguyen Trung Nam                 | Xe Thuong     
12      | 11A8-7548       | Nguyen Xuan Viet Anh             | Xe Thuong     
13      | 36F9-3141       | Hoang The Dung                   | Xe Thuong     
14      | 79A6-4256       | Nguyen Huynh Quoc Bao            | Xe Thuong     
15      | 51P8-6462       | Thai Vu Tran                     | Xe VIP        
16      | 38M2-2899       | Hoang Huy Hung                   | Xe Hop Dong   
17      | 93V5-8127       | Phi Tra Hoa Viet                 | Xe Hop Dong   
18      | 51K9-8635       | Lam Quoc Bao                     | Xe VIP        
19      | 32J6-7892       | Doan Hoang Huy                   | Xe VIP        
20      | 34E8-6421       | Nguyen Luong Linh                | Xe Thuong     
---------------------------
Tổng: 20.
         STT         Số xe   Quãng đường (KM)  Thành Tiền (VNĐ)
           1             2 |              73.6 |  1,086,000
           2            12 |               8.9 |    115,500
           3             2 |              88.7 |  1,312,500
           4            11 |              95.2 |  1,410,000
           5             7 |              96.8 |  1,434,000
           6            17 |               4.6 |     51,000
           7             3 |              84.4 |  1,248,000
           8             7 |              84.8 |  1,254,000
           9            19 |              35.2 |    510,000
          10            20 |              80.8 |  1,194,000
          11            12 |              41.2 |    600,000
          12             2 |              86.3 |  1,276,500
          13             8 |              47.9 |    700,500
          14             3 |                53 |    777,000
          15             4 |              47.1 |    688,500
          16             4 |              18.3 |    256,500
          17            14 |              44.3 |    646,500
          18            15 |              55.9 |    820,500
          19             4 |              20.3 |    286,500
          20             6 |              89.5 |  1,324,500
          21            15 |              61.1 |    898,500
          22            18 |              19.9 |    280,500
          23            11 |              94.5 |  1,399,500
          24            14 |              34.4 |    498,000
          25            20 |              25.4 |    363,000
          26            20 |                92 |  1,362,000
          27            20 |              77.4 |  1,143,000
          28             3 |               7.5 |     94,500
          29            10 |              43.8 |    639,000
          30             8 |              74.5 |  1,099,500
          31            15 |              37.6 |    546,000
          32             6 |              82.9 |  1,225,500
          33             9 |              96.2 |  1,425,000
          34            10 |              35.9 |    520,500
          35            17 |                54 |    792,000
          36             2 |              27.6 |    396,000
          37             8 |              28.3 |    406,500
          38             7 |              90.9 |  1,345,500
          39             8 |              24.5 |    349,500
          40             7 |              16.7 |    232,500
          41             1 |              29.2 |    420,000
          42            11 |              83.4 |  1,233,000
          43             6 |              75.9 |  1,120,500
          44             9 |              14.8 |    204,000
          45            11 |              15.9 |    220,500
          46            19 |              20.7 |    292,500
          47            20 |              80.9 |  1,195,500
          48             7 |              43.4 |    633,000
          49            12 |              24.2 |    345,000
          50            12 |              47.5 |    694,500
          51             6 |              97.5 |  1,444,500
          52            18 |              37.2 |    540,000
          53            16 |              43.3 |    631,500
          54             3 |              48.1 |    703,500
          55             4 |              67.3 |    991,500
          56             2 |              13.2 |    180,000
          57            12 |              70.5 |  1,039,500
          58            15 |              47.3 |    691,500
          59            18 |              53.7 |    787,500
          60            11 |              15.2 |    210,000
          61             6 |              18.4 |    258,000
          62            11 |              83.3 |  1,231,500
          63             1 |              53.7 |    787,500
          64             1 |              98.1 |  1,453,500
          65             4 |               8.8 |    114,000
          66             3 |              67.2 |    990,000
          67            10 |              68.6 |  1,011,000
          68             8 |              73.4 |  1,083,000
          69            15 |                27 |    387,000
          70             9 |              43.8 |    639,000
          71             6 |              58.4 |    858,000
          72            12 |              54.5 |    799,500
          73            20 |              39.7 |    577,500
          74            20 |              40.5 |    589,500
          75             4 |                23 |    327,000
          76            13 |              59.7 |    877,500
          77             8 |              86.2 |  1,275,000
          78            15 |              73.8 |  1,089,000
          79             9 |              36.4 |    528,000
          80             7 |               6.5 |     79,500
          81             8 |              58.8 |    864,000
          82             3 |              69.8 |  1,029,000
          83             7 |              97.4 |  1,443,000
          84            14 |              66.7 |    982,500
          85            10 |              31.6 |    456,000
          86            19 |                91 |  1,347,000
          87            11 |               3.2 |     30,000
          88             8 |              59.6 |    876,000
          89            10 |              29.3 |    421,500
          90             7 |              46.7 |    682,500
          91            15 |              97.2 |  1,440,000
          92            10 |              64.1 |    943,500
          93            10 |              83.1 |  1,228,500
          94            19 |              93.6 |  1,386,000
          95            12 |              28.5 |    409,500
          96             4 |                14 |    192,000
          97             5 |                48 |    702,000
          98            14 |              96.8 |  1,434,000
          99            17 |              78.7 |  1,162,500
         100             1 |              45.6 |    666,000
         101             6 |              25.7 |    367,500
         102            14 |              86.5 |  1,279,500
         103             3 |              55.2 |    810,000
         104            16 |              90.4 |  1,338,000
         105            11 |               6.4 |     78,000
         106            13 |              46.9 |    685,500
         107             9 |              18.1 |    253,500
         108            18 |              89.4 |  1,323,000
         109            10 |              32.8 |    474,000
         110             7 |              53.1 |    778,500
         111            13 |               5.5 |     64,500
         112             6 |              73.2 |  1,080,000
         113            10 |              42.7 |    622,500
         114            18 |              41.1 |    598,500
         115            20 |              36.9 |    535,500
         116             3 |              74.7 |  1,102,500
         117            11 |              95.1 |  1,408,500
         118            19 |              13.1 |    178,500
         119             4 |              54.1 |    793,500
         120             9 |              85.7 |  1,267,500
